step,pseudo_target,query_loss,objective,temperature,weight_entropy,max_weight
1,CALB,1.700751543045044,1.6979843378067017,0.2501106560230255,2.767162322998047,0.07476003468036652
2,CALCE,0.07035668939352036,0.06758999824523926,0.25019970536231995,2.766688585281372,0.06780098378658295
3,HNEI,1.8669829368591309,1.864213466644287,0.25027748942375183,2.7695260047912598,0.06571254134178162
4,ISU_ILCC,3.806852340698242,3.804082155227661,0.25036782026290894,2.770218849182129,0.06550733000040054
5,MATR,0.22258684039115906,0.2198149412870407,0.2504642605781555,2.7718923091888428,0.06560797989368439
6,MICH,0.6317687034606934,0.6289973855018616,0.2504804730415344,2.7713465690612793,0.06453531980514526
7,MICH_EXP,2.4017601013183594,2.3989884853363037,0.2504536509513855,2.7715911865234375,0.06453379988670349
8,NA-ion,2.9992408752441406,2.996469259262085,0.2504029870033264,2.7716662883758545,0.06527851521968842
9,RWTH,0.03097713179886341,0.028206264600157738,0.2503577470779419,2.770866870880127,0.06555701792240143
10,SDU,0.6230936050415039,0.6203232407569885,0.25031253695487976,2.770354747772217,0.0650305449962616
11,SNL,2.2021031379699707,2.1993324756622314,0.2502780854701996,2.770575523376465,0.06475591659545898
12,Stanford,0.06598207354545593,0.0632123053073883,0.2502468526363373,2.7697718143463135,0.06541503965854645
13,Stanford_2,0.2683962285518646,0.2656262516975403,0.2502343952655792,2.7699663639068604,0.06541725248098373
14,Tongji,1.4594476222991943,1.456676721572876,0.25020670890808105,2.7709178924560547,0.06506172567605972
15,UL_PUR,2.2942798137664795,2.291510820388794,0.25016453862190247,2.768918991088867,0.06601817160844803
16,XJTU,1.9791276454925537,1.9763579368591309,0.2501091957092285,2.7697463035583496,0.06526714563369751
17,ZN-coin,1.9593636989593506,1.9565919637680054,0.2500561475753784,2.771772623062134,0.06733418256044388
18,CALB,1.3738203048706055,1.3710497617721558,0.25000181794166565,2.770528793334961,0.07369373738765717
19,CALCE,0.05588969588279724,0.05312153324484825,0.2499546855688095,2.7681615352630615,0.06812627613544464
20,HNEI,1.671292781829834,1.668524146080017,0.24989287555217743,2.7686409950256348,0.06587288528680801
21,ISU_ILCC,0.9388983249664307,0.9361302256584167,0.24984179437160492,2.7680892944335938,0.06703153252601624
22,MATR,0.2513498067855835,0.24858033657073975,0.24981960654258728,2.7694647312164307,0.06686357408761978
23,MICH,0.5920594334602356,0.5892934203147888,0.24977262318134308,2.766023635864258,0.06643050163984299
24,MICH_EXP,2.228358507156372,2.2255921363830566,0.24971288442611694,2.766395092010498,0.06630506366491318
25,NA-ion,2.410627841949463,2.407862424850464,0.2496330887079239,2.765343189239502,0.06751794368028641
26,RWTH,0.05417941138148308,0.051413167268037796,0.24956271052360535,2.766242504119873,0.06845740973949432
27,SDU,0.49884161353111267,0.4960806965827942,0.24950011074543,2.760928153991699,0.06755247712135315
28,SNL,1.6362444162368774,1.6334806680679321,0.2494528889656067,2.7637996673583984,0.06716859340667725
29,Stanford,0.07210919260978699,0.06934929639101028,0.24941034615039825,2.759894847869873,0.06820445507764816
30,Stanford_2,0.09379298985004425,0.09103363007307053,0.2493804395198822,2.759361982345581,0.07026835530996323
31,Tongji,0.9704476594924927,0.96768718957901,0.24931924045085907,2.760490894317627,0.06863745301961899
32,UL_PUR,3.016580104827881,3.013827323913574,0.2492358237504959,2.7528862953186035,0.07111214846372604
33,XJTU,1.8997249603271484,1.8969719409942627,0.24913856387138367,2.7529823780059814,0.07017955183982849
34,ZN-coin,1.9110788106918335,1.908312439918518,0.24905098974704742,2.7663321495056152,0.07432867586612701
35,CALB,1.4336297512054443,1.430876612663269,0.24896453320980072,2.753138303756714,0.10141889750957489
36,CALCE,0.07431430369615555,0.07157008349895477,0.24889244139194489,2.7442173957824707,0.08586859703063965
37,HNEI,1.6522223949432373,1.6494759321212769,0.24881069362163544,2.7465109825134277,0.07159333676099777
38,ISU_ILCC,1.6944085359573364,1.6916652917861938,0.24872641265392303,2.7432913780212402,0.08068553358316422
39,MATR,0.4350346326828003,0.4322974681854248,0.24867132306098938,2.7371647357940674,0.07772243767976761
40,MICH,0.5731642246246338,0.5704402923583984,0.24860025942325592,2.7239434719085693,0.0762224793434143
41,MICH_EXP,2.2882072925567627,2.2854809761047363,0.24850939214229584,2.726270914077759,0.07670409977436066
42,NA-ion,2.366374969482422,2.363675594329834,0.24840059876441956,2.699267864227295,0.08456140756607056
43,RWTH,0.06300869584083557,0.06027929112315178,0.24829725921154022,2.729404926300049,0.10039573162794113
44,SDU,0.33082398772239685,0.32811668515205383,0.24821072816848755,2.7073004245758057,0.08408882468938828
45,SNL,2.355729341506958,2.352980852127075,0.2481342852115631,2.7484383583068848,0.08085381239652634
46,Stanford,0.07533688843250275,0.0726228803396225,0.24806518852710724,2.714010238647461,0.10377093404531479
47,Stanford_2,0.11864496767520905,0.11593465507030487,0.24800729751586914,2.7103137969970703,0.11297467350959778
48,Tongji,0.939139723777771,0.9364373087882996,0.2479253113269806,2.7024295330047607,0.09155824780464172
49,UL_PUR,1.6755597591400146,1.67293381690979,0.24782216548919678,2.62595272064209,0.10849622637033463
50,XJTU,0.7507402896881104,0.7481542825698853,0.24770137667655945,2.585979700088501,0.11055601388216019
51,ZN-coin,2.220135450363159,2.217425584793091,0.24758918583393097,2.709773540496826,0.12111780792474747
52,CALB,1.7740134000778198,1.771388053894043,0.24746467173099518,2.625385284423828,0.12992733716964722
53,CALCE,0.06880764663219452,0.06636733561754227,0.24736423790454865,2.440309524536133,0.21623343229293823
54,HNEI,1.5422184467315674,1.539553165435791,0.24724696576595306,2.665271759033203,0.09285009652376175
55,ISU_ILCC,0.4675332307815552,0.46505609154701233,0.24712297320365906,2.477128505706787,0.20867842435836792
56,MATR,0.7282419204711914,0.725645899772644,0.2470419704914093,2.5960028171539307,0.10476129502058029
57,MICH,0.4447658360004425,0.4421786665916443,0.246951162815094,2.5871548652648926,0.09893034398555756
58,MICH_EXP,2.0842742919921875,2.081676483154297,0.24684487283229828,2.5977437496185303,0.09831689298152924
59,NA-ion,2.2615599632263184,2.259007215499878,0.2467333823442459,2.5526480674743652,0.10203798115253448
