step,pseudo_target,query_loss,objective,temperature,weight_entropy,max_weight
1,CALB,1.394756555557251,1.3919841051101685,0.24989104270935059,2.7724661827087402,0.0638052374124527
2,CALCE,0.07032973319292068,0.06755776703357697,0.24996846914291382,2.7719686031341553,0.06530752778053284
3,HNEI,1.9084906578063965,1.905718445777893,0.25005966424942017,2.772153377532959,0.0647810623049736
4,HUST,2.249664783477783,2.2468924522399902,0.25008946657180786,2.772303819656372,0.06398308277130127
5,ISU_ILCC,0.8807616233825684,0.8779893517494202,0.2501116096973419,2.7722883224487305,0.06408467888832092
6,MATR,0.2600744962692261,0.25730204582214355,0.2501254975795746,2.7724385261535645,0.06433393806219101
7,MICH,0.7965912818908691,0.793819010257721,0.25007522106170654,2.772294521331787,0.06494008004665375
8,MICH_EXP,2.1356449127197266,2.1328725814819336,0.25000983476638794,2.7723050117492676,0.06503239274024963
9,NA-ion,2.7734882831573486,2.7707159519195557,0.24993878602981567,2.772315740585327,0.06448456645011902
10,RWTH,0.005923768505454063,0.003151549259200692,0.24987444281578064,2.772219181060791,0.065132737159729
11,SNL,1.852759838104248,1.849987506866455,0.2498181015253067,2.772307872772217,0.06420786678791046
12,Stanford,0.08626650273799896,0.08349432796239853,0.2497691810131073,2.772171974182129,0.06499140709638596
13,Stanford_2,0.1821260303258896,0.1793540120124817,0.24973642826080322,2.772012710571289,0.06454557925462723
14,Tongji,1.4731954336166382,1.4704235792160034,0.24971634149551392,2.7718701362609863,0.06451870501041412
15,UL_PUR,2.261873960494995,2.2591018676757812,0.24969300627708435,2.772083282470703,0.06411581486463547
16,XJTU,2.008188486099243,2.0054163932800293,0.24963928759098053,2.7719764709472656,0.06570306420326233
17,ZN-coin,1.742057204246521,1.739284873008728,0.2495991438627243,2.772359848022461,0.06522170454263687
18,CALB,1.0446040630340576,1.0418319702148438,0.2495485246181488,2.772134780883789,0.06600379198789597
19,CALCE,0.0809149295091629,0.07814321666955948,0.2495098114013672,2.7717108726501465,0.06509966403245926
20,HNEI,1.6956019401550293,1.692829966545105,0.2494533509016037,2.772022247314453,0.06517977267503738
21,HUST,2.7748682498931885,2.7720963954925537,0.24938568472862244,2.771754264831543,0.06550376862287521
22,ISU_ILCC,0.22566892206668854,0.2228977084159851,0.24933534860610962,2.7712149620056152,0.06741126626729965
23,MATR,0.1537247896194458,0.15095296502113342,0.24929280579090118,2.7718238830566406,0.06580936163663864
24,MICH,0.9305366277694702,0.927767276763916,0.24922287464141846,2.7693467140197754,0.06806261092424393
25,MICH_EXP,1.9283266067504883,1.9255574941635132,0.24913650751113892,2.7691187858581543,0.06833290308713913
26,NA-ion,3.2841901779174805,3.281421422958374,0.24903789162635803,2.768850564956665,0.06845678389072418
27,RWTH,0.013791931793093681,0.01102377474308014,0.24894550442695618,2.768157482147217,0.07064095884561539
28,SNL,1.3273749351501465,1.324605941772461,0.24885909259319305,2.769052505493164,0.06881555914878845
29,Stanford,0.08043722808361053,0.07767285406589508,0.2487768828868866,2.7643747329711914,0.06868612766265869
30,Stanford_2,0.05373945087194443,0.050978612154722214,0.24870665371418,2.760838031768799,0.0691845566034317
31,Tongji,0.9603525996208191,0.9575926661491394,0.2486172616481781,2.759925365447998,0.07078184932470322
32,UL_PUR,2.855654716491699,2.8528952598571777,0.24851660430431366,2.7593984603881836,0.07029179483652115
33,XJTU,1.8164613246917725,1.8137125968933105,0.24840585887432098,2.7486722469329834,0.07487399131059647
34,ZN-coin,1.5873006582260132,1.5845465660095215,0.24830758571624756,2.7541162967681885,0.07164253294467926
35,CALB,1.095702886581421,1.0929489135742188,0.24820227921009064,2.7539713382720947,0.08930724114179611
36,CALCE,0.09589260816574097,0.09315168857574463,0.248117133975029,2.740919589996338,0.07963139563798904
