evaluation_scheme,evaluation_label,evaluation_point,samples,batteries,coverage_percent,mean_observation_fraction,mae,rmse,mape,life_normalized_mae_percent
life_fraction,20%,0.20000000298023224,77,77,100.0,0.199993515943552,1164.6163714520344,1208.0830513068142,73.4305333854979,58.74488682754387
life_fraction,40%,0.4000000059604645,77,77,100.0,0.39999350015219154,774.1487926136364,810.7613305900328,64.57391704011819,38.74488572989565
life_fraction,60%,0.6000000238418579,77,77,100.0,0.600006509136844,383.64230941177965,415.8951958966289,46.860141230508894,18.743584329830444
life_fraction,80%,0.800000011920929,77,77,100.0,0.8000064887009658,66.93744926948052,80.61960331484643,18.40997224055643,3.6821886134876816
absolute_cycle,20_cycles,20.0,77,77,100.0,0.010700307617133314,1535.1821859780844,1586.8098023531995,78.50892782319853,77.67947181288541
absolute_cycle,50_cycles,50.0,77,77,100.0,0.02675076907911858,1505.0839923016438,1557.7095791820773,78.13176555125077,76.06916710007951
absolute_cycle,100_cycles,100.0,77,77,100.0,0.05350153815823716,1455.083899956245,1509.4537051328407,77.48107289416026,73.39408499603566
absolute_cycle,200_cycles,200.0,77,77,100.0,0.10700307631647432,1355.083917394861,1413.3059795676656,76.04894825959335,68.04393124689209
absolute_cycle,500_cycles,500.0,77,77,100.0,0.26750768817864456,1055.0839998319552,1128.8860096189212,70.27538413276888,51.993474070115504
