step,pseudo_target,query_loss,objective,temperature,weight_entropy,max_weight
1,CALB,1.5235625505447388,1.5207903385162354,0.24988965690135956,2.772199869155884,0.06486550718545914
2,CALCE,0.061673060059547424,0.05890345200896263,0.2499246448278427,2.76960825920105,0.06586858630180359
3,HNEI,1.5767314434051514,1.5739613771438599,0.24999947845935822,2.770117998123169,0.06540524959564209
4,HUST,3.2358760833740234,3.233105182647705,0.25008830428123474,2.7708675861358643,0.06492524594068527
5,ISU_ILCC,0.812988817691803,0.810218334197998,0.2501395344734192,2.770479440689087,0.06475058197975159
6,MATR,0.30253851413726807,0.29976746439933777,0.2502005398273468,2.7710628509521484,0.06531981378793716
7,MICH,1.0154825448989868,1.012711763381958,0.2502037286758423,2.7707810401916504,0.06458576768636703
8,MICH_EXP,1.9913654327392578,1.9885941743850708,0.2502168118953705,2.7712669372558594,0.06459388136863708
9,NA-ion,2.749160051345825,2.746389389038086,0.2501837909221649,2.7707345485687256,0.06496142596006393
10,RWTH,0.0341460295021534,0.031374961137771606,0.2501533031463623,2.771066665649414,0.0651286318898201
11,SDU,0.24773406982421875,0.2449633628129959,0.2501201927661896,2.7707059383392334,0.06473919749259949
12,SNL,0.5628748536109924,0.5601037740707397,0.2500850558280945,2.771055221557617,0.06442248076200485
13,Stanford,0.051465075463056564,0.048693686723709106,0.25005513429641724,2.771388530731201,0.06463193148374557
14,Stanford_2,0.10976868122816086,0.10699786990880966,0.2500365078449249,2.7708141803741455,0.06430526077747345
15,Tongji,0.9364594221115112,0.9336885809898376,0.2500152289867401,2.770813465118408,0.06457311660051346
16,XJTU,0.881499707698822,0.8787288665771484,0.24997638165950775,2.7708115577697754,0.06556718796491623
17,ZN-coin,1.0465971231460571,1.0438255071640015,0.24994154274463654,2.7716641426086426,0.06497745215892792
18,CALB,1.5139663219451904,1.5111945867538452,0.24989406764507294,2.7717363834381104,0.06890186667442322
19,CALCE,0.028664836660027504,0.02589447610080242,0.24985440075397491,2.770360231399536,0.06530007719993591
20,HNEI,1.5803815126419067,1.577610731124878,0.24980275332927704,2.770724296569824,0.06470776349306107
21,HUST,3.1857829093933105,3.183011770248413,0.24977238476276398,2.771090030670166,0.0642649456858635
22,ISU_ILCC,1.85077965259552,1.8480100631713867,0.24974952638149261,2.769578218460083,0.06530537456274033
23,MATR,0.30282625555992126,0.3000560402870178,0.24973897635936737,2.770223617553711,0.06559933722019196
24,MICH,0.6165614724159241,0.6137919425964355,0.24971109628677368,2.7695250511169434,0.06495708972215652
25,MICH_EXP,2.280017852783203,2.277247428894043,0.24968326091766357,2.7703254222869873,0.06524679064750671
26,NA-ion,2.390491485595703,2.3877246379852295,0.24962489306926727,2.7668232917785645,0.06685566157102585
27,RWTH,0.0612553246319294,0.05848568677902222,0.2495744824409485,2.769638776779175,0.0660560131072998
28,SDU,0.3152964413166046,0.31252795457839966,0.24953621625900269,2.7684948444366455,0.06554333865642548
29,SNL,0.843518853187561,0.8407495617866516,0.2495003342628479,2.7692904472351074,0.0656268447637558
30,Stanford,0.05627870559692383,0.05350892245769501,0.24946752190589905,2.7697834968566895,0.06584697961807251
31,Stanford_2,0.1641540825366974,0.16138635575771332,0.24944548308849335,2.76772141456604,0.06593436747789383
32,Tongji,1.6032652854919434,1.6004974842071533,0.2493947148323059,2.7678117752075195,0.06573334336280823
33,XJTU,0.853384792804718,0.8506178259849548,0.24932007491588593,2.76694655418396,0.06708644330501556
34,ZN-coin,1.3978862762451172,1.3951176404953003,0.24924276769161224,2.768644332885742,0.0661986917257309
35,CALB,1.7768290042877197,1.774061679840088,0.2491752952337265,2.7672905921936035,0.07903240621089935
36,CALCE,0.09082020819187164,0.0880550816655159,0.2491193413734436,2.765127420425415,0.06690582633018494
37,HNEI,1.3841290473937988,1.3813636302947998,0.2490554004907608,2.765462875366211,0.0663122609257698
38,HUST,3.5683248043060303,3.5655579566955566,0.24901001155376434,2.7668468952178955,0.06704563647508621
39,ISU_ILCC,0.18754005432128906,0.18478046357631683,0.24898746609687805,2.759587049484253,0.06743887066841125
40,MATR,0.3119859993457794,0.30922552943229675,0.2489800602197647,2.7604622840881348,0.06845779716968536
41,MICH,0.7004772424697876,0.6977179646492004,0.2489488124847412,2.759260416030884,0.06806425005197525
42,MICH_EXP,1.8529281616210938,1.8501667976379395,0.24890317022800446,2.761345386505127,0.06714489310979843
43,NA-ion,2.2640347480773926,2.261284589767456,0.24882422387599945,2.750070571899414,0.07130098342895508
44,RWTH,0.0753980278968811,0.07263709604740143,0.24874967336654663,2.760934352874756,0.07080429047346115
45,SDU,0.7589067816734314,0.7561518549919128,0.24869456887245178,2.7549445629119873,0.06853292137384415
46,SNL,0.7783018350601196,0.7755441069602966,0.24864713847637177,2.7577157020568848,0.06962857395410538
47,Stanford,0.07186391949653625,0.0691046267747879,0.24860109388828278,2.7592930793762207,0.07249443978071213
48,Stanford_2,0.36957359313964844,0.3668164312839508,0.24856799840927124,2.757176399230957,0.06863906234502792
49,Tongji,1.1954134702682495,1.1926591396331787,0.2485097199678421,2.7543325424194336,0.06987424939870834
50,XJTU,1.1715418100357056,1.168796420097351,0.24842201173305511,2.7454206943511963,0.07488897442817688
51,ZN-coin,1.3502967357635498,1.3475545644760132,0.24831849336624146,2.742130756378174,0.0764150321483612
52,CALB,1.5818746089935303,1.5791641473770142,0.24820460379123688,2.710448980331421,0.1036628782749176
53,CALCE,0.06155373901128769,0.058817703276872635,0.24810121953487396,2.7360363006591797,0.08523251116275787
54,HNEI,1.0840275287628174,1.0812820196151733,0.24800626933574677,2.745455741882324,0.07841641455888748
55,HUST,3.649746894836426,3.647019863128662,0.24790003895759583,2.7270381450653076,0.08705465495586395
56,ISU_ILCC,0.3221953213214874,0.3194641172885895,0.2478054314851761,2.731189250946045,0.0804818794131279
57,MATR,0.7645536661148071,0.7618697881698608,0.2477751225233078,2.6838574409484863,0.09432782977819443
58,MICH,0.42857232689857483,0.4258692264556885,0.24772381782531738,2.7030868530273438,0.08926550298929214
59,MICH_EXP,1.5041189193725586,1.501410722732544,0.24765783548355103,2.7082247734069824,0.08566408604383469
60,NA-ion,1.9730286598205566,1.9704265594482422,0.2475767731666565,2.602052688598633,0.10352455824613571
61,RWTH,0.12626630067825317,0.12358547747135162,0.2474936842918396,2.6808252334594727,0.10718647390604019
62,SDU,0.5267552137374878,0.5240606069564819,0.2474478781223297,2.694591999053955,0.09040814638137817
63,SNL,1.7283899784088135,1.7256884574890137,0.24739369750022888,2.701496124267578,0.09664332121610641
64,Stanford,0.10205824673175812,0.09947724640369415,0.24733464419841766,2.581003189086914,0.11723683774471283
65,Stanford_2,0.4718884229660034,0.46919167041778564,0.24726374447345734,2.696737766265869,0.10065345466136932
66,Tongji,0.763971209526062,0.7612848281860352,0.24717356264591217,2.6863951683044434,0.10018288344144821
67,XJTU,0.7096217274665833,0.7070002555847168,0.24706105887889862,2.621488571166992,0.11096570640802383
68,ZN-coin,1.3870632648468018,1.3845571279525757,0.24693132936954498,2.506178379058838,0.13727803528308868
69,CALB,1.6368095874786377,1.634408950805664,0.24679350852966309,2.400635242462158,0.17249934375286102
70,CALCE,0.07432298362255096,0.0717901885509491,0.24667362868785858,2.5327916145324707,0.143309086561203
71,HNEI,1.1826171875,1.1799341440200806,0.2465616911649704,2.6830127239227295,0.09628386050462723
72,HUST,3.418656826019287,3.4161062240600586,0.24643565714359283,2.5506796836853027,0.1563647836446762
73,ISU_ILCC,1.8130314350128174,1.8103383779525757,0.24632738530635834,2.693103551864624,0.10995248705148697
74,MATR,0.47789886593818665,0.47533780336380005,0.24626833200454712,2.56107497215271,0.1036670058965683
75,MICH,0.36100947856903076,0.35842272639274597,0.2461962252855301,2.586766242980957,0.10415042191743851
76,MICH_EXP,2.0370326042175293,2.0344581604003906,0.246111199259758,2.5744457244873047,0.10534971952438354
77,NA-ion,1.8717315196990967,1.8691943883895874,0.24600844085216522,2.5371484756469727,0.11650247871875763
78,RWTH,0.1517925262451172,0.14922977983951569,0.2458990216255188,2.5627403259277344,0.14058734476566315
79,SDU,0.44112807512283325,0.43859267234802246,0.2457953542470932,2.535407066345215,0.11322418600320816
80,SNL,0.22690123319625854,0.22428441047668457,0.24572086334228516,2.616816520690918,0.12570223212242126
81,Stanford,0.11420944333076477,0.11180224269628525,0.24564379453659058,2.4072012901306152,0.1424957662820816
82,Stanford_2,0.3946669399738312,0.39209088683128357,0.24555586278438568,2.5760498046875,0.12712691724300385
83,Tongji,0.5192093849182129,0.516609251499176,0.2454538643360138,2.600145101547241,0.11271785199642181
84,XJTU,0.6860638856887817,0.6836212873458862,0.24533821642398834,2.442627429962158,0.12776999175548553
85,ZN-coin,1.712117314338684,1.7097786664962769,0.24520738422870636,2.3386306762695312,0.14408999681472778
86,CALB,1.9721200466156006,1.9698013067245483,0.2451029270887375,2.3187966346740723,0.19418689608573914
87,CALCE,0.11488314718008041,0.11250562965869904,0.24500109255313873,2.3775172233581543,0.1464809775352478
88,HNEI,1.092756748199463,1.0900819301605225,0.24489760398864746,2.6748123168945312,0.1086757630109787
89,HUST,3.8059048652648926,3.8036983013153076,0.24478286504745483,2.206484317779541,0.16213640570640564
90,ISU_ILCC,0.9554039239883423,0.9529187083244324,0.24465103447437286,2.4852163791656494,0.15037429332733154
91,MATR,0.2701799273490906,0.2677851617336273,0.2445550560951233,2.3947763442993164,0.12693573534488678
92,MICH,0.23741750419139862,0.23510703444480896,0.24446119368076324,2.3104684352874756,0.1319124698638916
93,MICH_EXP,1.162438154220581,1.1601366996765137,0.24435941874980927,2.301396369934082,0.1427336186170578
94,NA-ion,1.7376621961593628,1.7353899478912354,0.2442503273487091,2.272213935852051,0.1305730789899826
95,RWTH,0.12112817913293839,0.11901423335075378,0.24414123594760895,2.113943576812744,0.22368976473808289
96,SDU,0.7371817827224731,0.7347859144210815,0.2440507560968399,2.3958683013916016,0.12798716127872467
97,SNL,1.7898215055465698,1.7872040271759033,0.24396289885044098,2.6174674034118652,0.13238875567913055
98,Stanford,0.09075925499200821,0.08860370516777039,0.24388104677200317,2.155545949935913,0.18607671558856964
99,Stanford_2,0.3824177384376526,0.3800562024116516,0.24378561973571777,2.3615269660949707,0.15442503988742828
100,Tongji,0.18454033136367798,0.18227317929267883,0.24368637800216675,2.2671492099761963,0.14719729125499725
101,XJTU,0.5983937978744507,0.596144437789917,0.2435799241065979,2.2493462562561035,0.1571829617023468
102,ZN-coin,1.586223840713501,1.5840271711349487,0.24346446990966797,2.196713924407959,0.19530165195465088
103,CALB,1.206148624420166,1.2038546800613403,0.2433367222547531,2.293917179107666,0.16025018692016602
104,CALCE,0.21190854907035828,0.20965082943439484,0.2432127743959427,2.25771427154541,0.16405640542507172
105,HNEI,1.024123191833496,1.021628737449646,0.24307113885879517,2.4943995475769043,0.14598116278648376
106,HUST,3.2393155097961426,3.2371528148651123,0.2429373413324356,2.162804365158081,0.14767023921012878
107,ISU_ILCC,0.5589711666107178,0.5566889047622681,0.24281106889247894,2.282259941101074,0.15345056354999542
108,MATR,1.0087087154388428,1.0061198472976685,0.2426927238702774,2.588902473449707,0.18415085971355438
109,MICH,0.3741796016693115,0.37195923924446106,0.24256564676761627,2.220348834991455,0.1776079386472702
110,MICH_EXP,1.3369660377502441,1.3346309661865234,0.24242204427719116,2.335012912750244,0.18969622254371643
111,NA-ion,1.577240228652954,1.575061559677124,0.24226990342140198,2.1786842346191406,0.17955812811851501
112,RWTH,0.15364721417427063,0.15136797726154327,0.24212510883808136,2.279233455657959,0.14507128298282623
113,SDU,0.2607429325580597,0.2581329345703125,0.24200181663036346,2.6100025177001953,0.14685118198394775
114,SNL,1.142116904258728,1.1395493745803833,0.24188759922981262,2.5675108432769775,0.11705780029296875
115,Stanford,0.15419325232505798,0.15187853574752808,0.24177689850330353,2.314713954925537,0.1667299121618271
116,Stanford_2,0.8193244338035583,0.8169174790382385,0.2416607290506363,2.406928539276123,0.13661696016788483
117,Tongji,0.5652850866317749,0.5628660917282104,0.24152933061122894,2.418987274169922,0.15796056389808655
118,XJTU,0.3208068609237671,0.3184259533882141,0.2413903921842575,2.3809189796447754,0.15833115577697754
119,ZN-coin,1.164039969444275,1.1618317365646362,0.241256982088089,2.2082152366638184,0.20029981434345245
120,CALB,1.716932773590088,1.714686393737793,0.24112363159656525,2.246392011642456,0.1699272245168686
121,CALCE,0.13051357865333557,0.1281011402606964,0.24100375175476074,2.412442207336426,0.1791502982378006
122,HNEI,1.0191218852996826,1.016899585723877,0.24087642133235931,2.222337245941162,0.15885864198207855
123,HUST,3.8602609634399414,3.8580338954925537,0.2407490760087967,2.2270026206970215,0.16370482742786407
124,ISU_ILCC,2.41953706741333,2.4173104763031006,0.2406163215637207,2.2264952659606934,0.17717872560024261
125,MATR,0.8839479088783264,0.8812865018844604,0.24049897491931915,2.6614131927490234,0.16253846883773804
126,MICH,0.32386380434036255,0.3217991292476654,0.24037785828113556,2.0646839141845703,0.1774178147315979
127,MICH_EXP,1.5256997346878052,1.5236375331878662,0.240250363945961,2.0621867179870605,0.17771779000759125
