feature
numeric__nominal_capacity_in_Ah
numeric__max_voltage_limit_in_V
numeric__min_voltage_limit_in_V
numeric__soc_interval_start
numeric__soc_interval_end
numeric__charge_step_count
numeric__charge_rate_min_C
numeric__charge_rate_max_C
numeric__charge_rate_mean_C
numeric__discharge_step_count
numeric__discharge_rate_min_C
numeric__discharge_rate_max_C
numeric__discharge_rate_mean_C
categorical__form_factor_502030-size li-polymer
categorical__form_factor_cylindrical
categorical__form_factor_cylindrical_18650
categorical__form_factor_pouch
categorical__form_factor_prismatic
categorical__anode_material_graphite
categorical__anode_material_graphite/si
categorical__cathode_material_42 wt.% li(nicomn)o2 blended with 58 wt.% li(nicoal)o2 (ncm+nca)
categorical__cathode_material_lfp
categorical__cathode_material_li0.84(ni0.83co0.11mn 0.07)o2 (ncm)
categorical__cathode_material_li0.86ni0.86co0.11al0.03 o2 (nca)
categorical__cathode_material_licoo2
categorical__cathode_material_licoo2+lini0.4co0.4mn0.2o2
categorical__cathode_material_lini0.5co0.2mn0.3o2
categorical__cathode_material_lini0.5mn0.3co0.2o2
categorical__cathode_material_lini0.8co0.15al0.05o2
categorical__cathode_material_nca
categorical__cathode_material_nmc
categorical__cathode_material_nmc111
categorical__cathode_material_nmc_532
