step,pseudo_target,query_loss,objective,temperature,weight_entropy,max_weight
1,CALB,1.4758994579315186,1.4731297492980957,0.2501101493835449,2.7697668075561523,0.06847034394741058
2,CALCE,0.08154398202896118,0.07878153771162033,0.25021976232528687,2.7624409198760986,0.06643163412809372
3,HUST,2.452510356903076,2.4497456550598145,0.2502921223640442,2.7645888328552246,0.0661599189043045
4,ISU_ILCC,0.37981200218200684,0.377046674489975,0.25036710500717163,2.765314817428589,0.06603413075208664
5,MATR,0.14040707051753998,0.13763867318630219,0.25043654441833496,2.768397331237793,0.0658392459154129
6,MICH,1.4094280004501343,1.4066600799560547,0.2504556477069855,2.767937183380127,0.06550383567810059
7,MICH_EXP,3.1306312084198,3.1278622150421143,0.2504638135433197,2.7690091133117676,0.06531688570976257
8,NA-ion,3.0167720317840576,3.0140018463134766,0.25045913457870483,2.770134687423706,0.06592986732721329
9,RWTH,0.009401638060808182,0.00663265585899353,0.2504560649394989,2.768982172012329,0.06545072793960571
10,SDU,0.9802489280700684,0.9774818420410156,0.25045302510261536,2.767082691192627,0.06562076508998871
11,SNL,2.0211472511291504,2.018378734588623,0.25046542286872864,2.7686080932617188,0.06492644548416138
12,Stanford,0.20706519484519958,0.2042977511882782,0.25047990679740906,2.767448902130127,0.06551411002874374
13,Stanford_2,0.09657354652881622,0.09380660951137543,0.25049668550491333,2.7669405937194824,0.06576931476593018
14,Tongji,1.7063195705413818,1.7035506963729858,0.25048643350601196,2.768909454345703,0.06455393135547638
15,UL_PUR,3.4064948558807373,3.4037251472473145,0.2504654824733734,2.769601583480835,0.06498931348323822
16,XJTU,1.5507088899612427,1.547940969467163,0.2504368722438812,2.7679452896118164,0.06496848165988922
17,ZN-coin,2.1024839878082275,2.0997142791748047,0.2503879964351654,2.76967716217041,0.06759953498840332
18,CALB,1.4892032146453857,1.4864325523376465,0.2503476142883301,2.770707368850708,0.06963244080543518
19,CALCE,0.10200218856334686,0.09923692047595978,0.2503083646297455,2.7652668952941895,0.0651661828160286
20,HUST,2.5191314220428467,2.5163655281066895,0.2502938210964203,2.765916347503662,0.06513019651174545
