target_dataset,source_dataset,weight
MICH,CALB,0.0006732523906975985
MICH,CALCE,0.001706417533569038
MICH,HNEI,0.1878398209810257
MICH,HUST,0.000692910747602582
MICH,ISU_ILCC,0.0007408219971694052
MICH,MATR,0.000863664026837796
MICH,MICH_EXP,0.19612176716327667
MICH,NA-ion,0.17788498103618622
MICH,RWTH,0.0009132985724136233
MICH,SDU,0.00256655877456069
MICH,SNL,0.0015761920949444175
MICH,Stanford,0.0009066787897609174
MICH,Stanford_2,0.0008863042457960546
MICH,Tongji,0.0809914767742157
MICH,UL_PUR,0.18341049551963806
MICH,XJTU,0.13711661100387573
MICH,ZN-coin,0.025108719244599342
