evaluation_scheme,evaluation_label,evaluation_point,samples,batteries,coverage_percent,mean_observation_fraction,mae,rmse,mape,life_normalized_mae_percent
life_fraction,20%,0.20000000298023224,77,77,100.0,0.199993515943552,909.4236949573864,964.219878499001,56.36425245587695,45.09172931678239
life_fraction,40%,0.4000000059604645,77,77,100.0,0.39999350015219154,482.86625374137583,538.585609336849,38.63419645159493,23.18097620491565
life_fraction,60%,0.6000000238418579,77,77,100.0,0.600006509136844,134.51270799512986,170.61310728346461,16.771984759489026,6.708975069791898
life_fraction,80%,0.800000011920929,77,77,100.0,0.8000064887009658,340.12093838778407,349.5655786120479,95.09441366737047,19.017994741960635
absolute_cycle,20_cycles,20.0,77,77,100.0,0.010700307617133314,1434.4342833679991,1490.4690703125714,73.01832122444165,72.25077484320231
absolute_cycle,50_cycles,50.0,77,77,100.0,0.02675076907911858,1348.0384798916903,1408.148134248889,69.41262634214435,67.59650865514438
absolute_cycle,100_cycles,100.0,77,77,100.0,0.05350153815823716,1258.3374277090097,1322.5190150618203,66.24798463209429,62.796023151279286
absolute_cycle,200_cycles,200.0,77,77,100.0,0.10700307631647432,1125.2315332982448,1196.7248252970105,62.091593052404235,55.668783627490896
absolute_cycle,500_cycles,500.0,77,77,100.0,0.26750768817864456,788.8742747121044,888.1760048635074,50.21632216448283,37.67692315564127
